"participant"	"item"	"context"	"rpitch"	"rintensity"	"rduration"	"prominence"	"trial"	"text"
"83"	"1180"	"10"	"NoAlternative"	83.3442986698424	9.99099999999999	0	"Noun"	21	"Ruth was asked to hire a new assistant for her office. It seemed difficult. Still, in the end she succeeded: She hired a nice assistant."
"84"	"207"	"10"	"NoAlternative"	1160.79797206797	-0.369	-0.564529802737852	"Noun"	29	"Ruth was asked to hire a new assistant for her office. It seemed difficult. Still, in the end she succeeded: She hired a nice assistant."
"85"	"264"	"10"	"NoAlternative"	-72.0042152782804	-1.301	-1.00458333901983	"Noun"	7	"Ruth was asked to hire a new assistant for her office. It seemed difficult. Still, in the end she succeeded: She hired a nice assistant."
"86"	"741"	"10"	"NoAlternative"	129.802863408068	3.277	-0.872940291000541	"Noun"	15	"Ruth was asked to hire a new assistant for her office. It seemed difficult. Still, in the end she succeeded: She hired a nice assistant."
"87"	"820"	"10"	"NoAlternative"	1045.07405950451	-1.596	-0.902867711542015	"Noun"	22	"Ruth was asked to hire a new assistant for her office. It seemed difficult. Still, in the end she succeeded: She hired a nice assistant."
"88"	"1004"	"10"	"Alternative"	-344.791376135209	2.02	-0.65677953638907	"Adjective"	33	"At first, Mary accidentally hired a rude assistant as a PR person for her companhy, who quickly left.  Still, in the end she succeeded: She hired a nice assistant."
"89"	"1050"	"10"	"Alternative"	NA	2.015	-0.435318071257845	"Adjective"	24	"At first, Mary accidentally hired a rude assistant as a PR person for her companhy, who quickly left.  Still, in the end she succeeded: She hired a nice assistant."
"90"	"1169"	"10"	"Alternative"	1062.04759666668	-0.962000000000003	-0.541597282432744	"Noun"	5	"At first, Mary accidentally hired a rude assistant as a PR person for her companhy, who quickly left.  Still, in the end she succeeded: She hired a nice assistant."
"91"	"1170"	"10"	"Alternative"	227.909862762089	-4.38200000000001	-1.12059119538689	"Noun"	5	"At first, Mary accidentally hired a rude assistant as a PR person for her companhy, who quickly left.  Still, in the end she succeeded: She hired a nice assistant."
"92"	"1171"	"10"	"Alternative"	NA	-2.505	-0.350202429433115	"Noun"	7	"At first, Mary accidentally hired a rude assistant as a PR person for her companhy, who quickly left.  Still, in the end she succeeded: She hired a nice assistant."
"93"	"1172"	"10"	"Alternative"	-357.82730605435	-1.02499999999999	-1.06919840346182	"Noun"	13	"At first, Mary accidentally hired a rude assistant as a PR person for her companhy, who quickly left.  Still, in the end she succeeded: She hired a nice assistant."
"94"	"1173"	"10"	"Alternative"	-14.8890374043558	5.574	-0.857450231851222	"Noun"	29	"At first, Mary accidentally hired a rude assistant as a PR person for her companhy, who quickly left.  Still, in the end she succeeded: She hired a nice assistant."
"95"	"1175"	"10"	"Alternative"	NA	2.48599999999999	-1.01473080468741	"Adjective"	32	"At first, Mary accidentally hired a rude assistant as a PR person for her companhy, who quickly left.  Still, in the end she succeeded: She hired a nice assistant."
"96"	"1176"	"10"	"Alternative"	NA	-2.58199999999999	-0.955511445027436	"Noun"	24	"At first, Mary accidentally hired a rude assistant as a PR person for her companhy, who quickly left.  Still, in the end she succeeded: She hired a nice assistant."
"97"	"1177"	"10"	"Alternative"	130.985497348752	-1.655	-0.678758443107846	"Adjective"	9	"At first, Mary accidentally hired a rude assistant as a PR person for her companhy, who quickly left.  Still, in the end she succeeded: She hired a nice assistant."
"98"	"1178"	"10"	"Alternative"	NA	-2.051	-0.858661619037519	"Noun"	29	"At first, Mary accidentally hired a rude assistant as a PR person for her companhy, who quickly left.  Still, in the end she succeeded: She hired a nice assistant."
"99"	"1179"	"10"	"Alternative"	14.5597968756029	1.76900000000001	-0.991640169115942	"Noun"	31	"At first, Mary accidentally hired a rude assistant as a PR person for her companhy, who quickly left.  Still, in the end she succeeded: She hired a nice assistant."
"100"	"1180"	"10"	"Alternative"	NA	2.232	-0.767255152713667	"Noun"	2	"At first, Mary accidentally hired a rude assistant as a PR person for her companhy, who quickly left.  Still, in the end she succeeded: She hired a nice assistant."
"101"	"207"	"10"	"Alternative"	NA	-3.057	-0.76460614454209	"Noun"	7	"At first, Mary accidentally hired a rude assistant as a PR person for her companhy, who quickly left.  Still, in the end she succeeded: She hired a nice assistant."
"102"	"264"	"10"	"Alternative"	1273.17297440701	3.011	-0.415515443961666	"Noun"	20	"At first, Mary accidentally hired a rude assistant as a PR person for her companhy, who quickly left.  Still, in the end she succeeded: She hired a nice assistant."
"103"	"741"	"10"	"Alternative"	NA	5.96000000000001	-1.37304913436987	"Noun"	1	"At first, Mary accidentally hired a rude assistant as a PR person for her companhy, who quickly left.  Still, in the end she succeeded: She hired a nice assistant."
"104"	"820"	"10"	"Alternative"	512.608490343982	3.179	-1.08518926833597	"Noun"	36	"At first, Mary accidentally hired a rude assistant as a PR person for her companhy, who quickly left.  Still, in the end she succeeded: She hired a nice assistant."
